id,naziv,kategorija,opis,web,foto,adresa,mesto,lat,lon
NIV-0001,"Preduzetnička radnja ""Umetnik DABAR""",Zanat,"Preduzetnička radnja ""Umetnik Dabar"" iz Subotice bavi se umetničkom obradom drveta i izradom ručno rađene opreme za dečija igrališta. Kroz funkcionalnost, kreativnost i estetiku, podstiču razvoj dece kroz igru.",https://www.facebook.com/umetnikdabar/,"/img/dabar-logo.jpg,/img/dabar-carolija-1.jpg,/img/dabar-carolija-2.jpg,/img/dabar-carolija-3.jpg",Dositejeva 6,Subotica,46.091005,19.662195
NIV-0002,Dijamant Zrenjanin,Proizvodi,Jestivo rafinisano ulje suncokreta je osnovni proizvod kompanije Dijamant. Prvi je prehrambeni proizvod u Srbiji koji je stekao pravo na znak kvaliteta “Najbolje iz Vojvodine”.,https://dijamant.rs/,"/img/dijamant-logo.jpg,/img/dijamant-1.jpg,/img/dijamant-2.jpg",Temišvarski drum 14,Zrenjanin,45.38576349,20.41460676
NIV-0003,Gastro Srem,Manifestacije,"„Gastro Srem“ je jedinstvena manifestacija koja povezuje gastronomiju, kulturu i turizam, prikazujući tradiciju i savremeni duh Srema. Održava se u Staroj Pazovi i okuplja brojne proizvođače mesa, sira, meda, vina, rakije, udruženja žena, umetnike i goste iz Srbije i inostranstva.",https://gastrosrem.rs/,"/img/gastrosrem-logo.jpg,/img/gastrosrem-1.jpg,/img/gastrosrem-2.jpg,/img/gastrosrem-3.jpg",Svetosavska 11,Stara Pazova,44.962988,20.281477
NIV-0004,Ravno Selo Film Festival,Manifestacije,"Ravno Selo Film Festival promoviše debitantske filmove i mlade autore. Održava se svake godine u Ravnom Selu uz projekcije, koncerte i edukativne programe.",https://ravnoseloff.com/,"/img/ravno-selo-logo.png,/img/ravno-selo-1.jpg,/img/ravno-selo-2.jpg,/img/ravno-selo-3.jpg",Topličin venac 11,Beograd,44.81631091,20.45524641
NIV-0005,Srem Folk Fest,Manifestacije,"„Srem Folk Fest“ je međunarodni festival folklora koji se svake godine od 11. do 15. avgusta održava u Sremskoj Mitrovici. Okuplja ansamble iz celog sveta i promoviše narodne pesme, igre, muziku i nošnje različitih kultura.",http://www.sremfolkfest.org.rs,"/img/srem-folk-logo.jpg,/img/srem-folk-1.jpg,/img/srem-folk-2.jpg,/img/srem-folk-3.jpg",Vuka Karadžića 10,Sremska Mitrovica,44.96720417,19.60905068
NIV-0006,Likovna kolonija UM ING,Manifestacije,"Likovna kolonija „UM–ING“ više od decenije spaja umetnost, privredu i humanost. Okuplja poznate slikare, a sredstva od svake pete aukcije usmeravaju se u humanitarne svrhe, najčešće za zrenjaninsku neonatologiju.",https://www.youtube.com/watch?v=1o-hL1jvw1A,"/img/uming-logo.jpg,/img/uming-1.jpg,/img/uming-2.jpg,/img/uming-3.jpg",Bagljaš Aerodrom 12,Zrenjanin,45.38728318,20.35914033
NIV-0007,Ikonopisna radionica Sandra Stanković,Usluge,"Ikone rađene starom tradicionalnom tehnikom, prepoznatljivog stila, često na neobičnim prirodnim podlogama. Planirane su izložbe 2026. u Kikindi, Bosni i Hercegovini i Hrvatskoj.",https://sandraikone.rs/,"/img/ikonopisac-logo.jpg,/img/ikonopisac-1.jpg,/img/ikonopisac-2.jpg,/img/ikonopisac-3.jpg",Dositejeva 56,Kikinda,45.83421917,20.4700704
NIV-0008,SZR “Maca papučarica”,Proizvodi,"„Maca papučarica“ nudi ručno rađene opanke od prirodne kože, izrađene po tradicionalnim tehnikama sa prostora bivše SFRJ. Spoj autentičnog izgleda, udobnosti i trajnog kvaliteta.",https://www.facebook.com/share/1HpCum6L9n/?mibextid=wwXIfr,"/img/maca-logo.png,/img/maca-1.jpg,/img/maca-2.jpg,/img/maca-3.jpg",Pere Segedinca 71,Kikinda,45.83344565,20.48823918
NIV-0009,Podrum Ćega Banoštor,Usluge,"Vinogradi podruma Ćega nalaze se u Banoštoru na obroncima Fruške gore, selu sa „dva sunca“ – nebeskim i dunavskim odsjajem. Iako osnovan 2020. godine, podrum neguje dugu vinsku tradiciju, a njihova nagrađivana vina prepoznata su po vrhunskom kvalitetu.",https://vojvodina.travel/podrum-cega-banostor/,"/img/cega-logo.jpg,/img/cega-1.jpg,/img/cega-2.jpg,/img/cega-3.jpg",Svetozara Markovića BB,Banoštor,45.2056589,19.58019277
NIV-0010,Vinarija Vinum,Usluge,"Vinarija Vinum nudi širok asortiman nagrađivanih vina vrhunskog kvaliteta, uz besprekornu uslugu i prijem gostiju. Saradnjom s Turističkom organizacijom Sremski Karlovci organizuje događaje i edukacije o kulturi vina i tradiciji ovog kraja.",https://vinum.rs/,"/img/vinum-logo.png,/img/vinum-1.jpg,/img/vinum-2.jpg,/img/vinum-3.jpg",Karlovačkog mira 26a,Sremski Karlovci,45.19776433,19.93997624
